Instrument,Asset,Liability,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014
Long-term debt securities,OFI,RoW,71,53,172,291,373,414,477,541,584
Long-term debt securities,OFI,CG,44,60,115,56,65,54,23,33,124
Long-term debt securities,OFI,MFI,17,23,28,31,30,27,20,17,16
Long-term debt securities,OFI,Unknown,68,111,193,238,266,293,301,264,281
Long-term debt securities,OFI,PC,0.0006,1,2,12,6,8,11,21,21
Long-term debt securities,PNFC,MFI,2,3,4,5,5,3,1,2,1
Long-term debt securities,PNFC,Unknown,2,5,7,4,5,9,10,13,31
Long-term debt securities,PNFC,CG,0.0006,1,1,1,2,2,2,2,3
Long-term debt securities,PNFC,RoW,12,11,16,18,23,28,27,16,36
Long-term debt securities,PC,CG,0.0006,1,1,1,1,1,0.0006,0.0006,0.0006
Long-term debt securities,RoW,CG,145,171,218,235,375,447,470,456,441
Long-term debt securities,RoW,Unknown,625,800,962,1045,994,1047,1004,883,984
Long-term debt securities,RoW,ICPF,1,2,2,1,0.0006,1,1,1,3
Long-term debt securities,RoW,OFI,11,7,2,4,3,5,8,11,14
Long-term debt securities,RoW,PNFC,16,14,20,23,26,28,24,28,30
Long-term debt securities,Unknown,HH_NPISH,1,1,1,1,1,1,1,1,1
Long-term debt securities,Unknown,OFI,469,588,751,878,823,838,821,784,910
Long-term debt securities,Unknown,MFI,360,458,554,611,651,698,678,581,608
Long-term debt securities,Unknown,PNFC,204,210,200,246,239,258,295,298,280
Long-term debt securities,Unknown,PC,5,5,4,4,4,4,0.0006,0.0006,0.0006
Long-term debt securities,Unknown,ICPF,17,19,21,25,24,23,25,22,26
Loans,CG,LG,47,49,52,51,54,55,64,64,65
Loans,CG,RoW,0.0006,0.0006,0.0006,0.0006,0.0006,1,2,3,3
Loans,CG,PC,2,2,2,2,1,1,1,1,1
Loans,CG,PNFC,6,6,5,5,5,5,5,6,7
Loans,CG,HH_NPISH,20,25,28,34,125,121,121,120,121
Loans,HH_NPISH,OFI,2,5,13,13,13,13,13,14,14
Loans,HH_NPISH,ICPF,1,1,1,1,1,1,1,1,1
Loans,HH_NPISH,HH_NPISH,2,2,2,2,2,2,2,2,2
Loans,HH_NPISH,PNFC,2,2,2,2,2,2,2,2,2
Loans,ICPF,RoW,5,3,6,7,7,7,28,27,10
Loans,ICPF,OFI,21,17,12,11,44,50,56,71,71
Loans,ICPF,LG,1,1,1,0.0006,1,0.0006,0.0006,2,4
Loans,ICPF,HH_NPISH,23,23,29,22,20,22,25,28,26
Loans,ICPF,PNFC,56,61,46,46,57,66,68,77,79
Loans,LG,PC,1,1,2,2,3,3,4,4,4
Loans,LG,HH_NPISH,2,2,3,4,5,5,7,8,9
Loans,MFI,OFI,630,865,1087,919,870,785,811,753,628
Loans,MFI,HH_NPISH,955,991,952,1062,1180,1178,1186,1192,1225
Loans,MFI,RoW,712,959,1132,908,976,1006,927,899,935
Loans,MFI,PC,1,1,1,1,1,1,0.0006,0.0006,0.0006
Loans,MFI,PNFC,426,510,576,523,481,452,428,406,390
Loans,MFI,ICPF,13,13,8,6,4,6,9,17,16
Loans,MFI,LG,9,10,11,11,12,12,11,11,11
Loans,MFI,CG,25,25,31,6,4,5,3,4,4
Loans,OFI,HH_NPISH,292,365,439,326,120,125,133,141,152
Loans,OFI,RoW,18,20,22,16,18,17,43,54,12
Loans,OFI,PNFC,45,53,56,61,58,73,64,45,48
Loans,OFI,OFI,3,3,3,3,4,4,4,4,4
Loans,OFI,LG,1,1,1,1,0.0006,0.0006,0.0006,0.0006,0.0006
Loans,PNFC,CG,4,4,5,5,5,5,5,5,5
Loans,PNFC,RoW,201,247,349,243,243,220,242,273,277
Loans,PNFC,PC,3,4,4,4,2,1,1,1,1
Loans,PNFC,OFI,44,47,75,63,119,85,65,52,48
Loans,PNFC,LG,0.0006,0.0006,0.0006,0.0006,1,1,1,1,1
Loans,PNFC,HH_NPISH,1,1,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006
Loans,PC,LG,1,0.0006,0.0006,0.0006,1,0.0006,0.0006,0.0006,1
Loans,PC,CG,4,6,6,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006
Loans,PC,RoW,2,1,1,1,1,1,1,1,1
Loans,PC,PC,1,1,1,1,1,1,1,1,1
Loans,RoW,OFI,577,586,511,475,677,768,896,975,973
Loans,RoW,LG,2,2,2,3,3,4,5,5,6
Loans,RoW,PC,1,1,1,1,1,1,1,1,1
Loans,RoW,CG,3,3,4,2,2,1,2,0.0006,1
Loans,RoW,PNFC,413,388,525,460,462,451,538,479,463
Loans,RoW,ICPF,32,32,37,34,32,38,57,55,41
Loans,RoW,HH_NPISH,15,16,22,23,23,31,33,33,31
E&IFS,CG,ICPF,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,3,1,1
E&IFS,CG,RoW,3,3,3,4,4,4,4,6,6
E&IFS,CG,MFI,0.0006,0.0006,4,8,16,24,35,7,8
E&IFS,CG,OFI,0.0006,0.0006,14,43,56,28,45,52,52
E&IFS,CG,PC,11,9,10,5,3,3,3,3,3
E&IFS,CG,PNFC,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,1,1
E&IFS,CG,Unknown,1,1,1,1,1,1,1,1,1
E&IFS,HH_NPISH,RoW,51,60,58,54,53,48,49,53,53
E&IFS,HH_NPISH,MFI,24,25,28,29,30,31,32,34,35
E&IFS,HH_NPISH,OFI,260,246,209,298,343,308,259,291,355
E&IFS,HH_NPISH,PNFC,14,14,38,1,1,1,1,2,2
E&IFS,HH_NPISH,Unknown,267,272,72,188,231,171,161,196,215
E&IFS,ICPF,Unknown,497,479,301,292,245,190,171,159,134
E&IFS,ICPF,RoW,451,484,420,498,564,535,610,641,651
E&IFS,ICPF,OFI,275,326,292,398,478,490,579,613,620
E&IFS,LG,PC,112,112,114,115,117,118,121,122,124
E&IFS,LG,Unknown,1,1,0.0006,1,1,1,1,3,4
E&IFS,MFI,MFI,0.0006,2,4,8,3,1,1,1,2
E&IFS,MFI,OFI,6,4,1,2,2,2,1,2,2
E&IFS,MFI,Unknown,172,149,133,128,154,159,171,172,116
E&IFS,MFI,RoW,156,178,101,118,131,131,161,169,177
E&IFS,OFI,RoW,230,295,287,342,412,398,441,503,499
E&IFS,OFI,OFI,30,37,30,39,47,50,63,83,82
E&IFS,OFI,MFI,73,76,84,87,89,94,95,102,106
E&IFS,OFI,Unknown,393,379,248,387,497,482,521,593,574
E&IFS,PNFC,PNFC,61,63,42,55,63,58,58,66,62
E&IFS,PNFC,Unknown,33,35,52,62,48,44,44,45,42
E&IFS,PNFC,OFI,1,1,0.0006,0.0006,1,0.0006,1,1,1
E&IFS,PNFC,RoW,605,657,782,694,750,786,770,679,636
