Name,Finland,Sweden,Netherlands,Germany,Luxembourg,Denmark,France,Ireland,UK,Austria,Italy,Belgium,Slovenia,Spain,Cyprus,Malta,Greece,Croatia,Czechia,Portugal,Lithuania,Poland,Slovakia,Hungary,Estonia,Latvia,Bulgaria,Romania
1990,5,1,13,15,25,2,19,6,10,11,8,20,4,3,12,14,7,18,9,17,21,22,24,16,23,26,27,28
2015,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
