Name,Germany,Sweden,France,Finland,Luxembourg,Denmark,UK,Austria,Belgium,Netherlands,Ireland,Cyprus,Slovenia,Italy,Spain,Portugal,Malta,Croatia,Greece,Lithuania,Czechia,Poland,Bulgaria,Latvia,Slovakia,Romania,Hungary,Estonia
1990,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
2015,9,6,12,2,1,16,19,10,13,15,14,4,3,11,20,8,25,18,21,17,7,22,27,26,24,28,23,5
