Local_authority_code,Local_authority_name,MSOA_code,MSOA_name,House_Price,Stamp_Duty,Income_Est
E07000234,Bromsgrove,E02006696,Bromsgrove001,225000,2000,1030
E07000234,Bromsgrove,E02006697,Bromsgrove002,200000,1500,890
E07000234,Bromsgrove,E02006698,Bromsgrove003,150500,510,680
E07000234,Bromsgrove,E02006699,Bromsgrove004,210000,1700,720
E07000234,Bromsgrove,E02006700,Bromsgrove005,238750,2275,750
E07000234,Bromsgrove,E02006701,Bromsgrove006,280000,4000,910
E07000234,Bromsgrove,E02006702,Bromsgrove007,147000,440,690
E07000234,Bromsgrove,E02006703,Bromsgrove008,202500,1550,900
E07000234,Bromsgrove,E02006704,Bromsgrove009,240000,2300,750
E07000234,Bromsgrove,E02006705,Bromsgrove010,150000,500,740
E07000234,Bromsgrove,E02006706,Bromsgrove011,105000,0,640
E07000234,Bromsgrove,E02006707,Bromsgrove012,229000,2080,1080
E07000234,Bromsgrove,E02006708,Bromsgrove013,128500,70,670
E07000234,Bromsgrove,E02006709,Bromsgrove014,203500,1570,860
