Local_authority_code,Local_authority_name,MSOA_code,MSOA_name,House_Price,Stamp_Duty,Income_Est
E07000155,South Northamptonshire,E02005681,SouthNorthamptonshire001,197498,1450,830
E07000155,South Northamptonshire,E02005682,SouthNorthamptonshire002,215000,1800,840
E07000155,South Northamptonshire,E02005683,SouthNorthamptonshire003,199000,1480,860
E07000155,South Northamptonshire,E02005684,SouthNorthamptonshire004,234950,2199,930
E07000155,South Northamptonshire,E02005685,SouthNorthamptonshire005,172250,945,810
E07000155,South Northamptonshire,E02005686,SouthNorthamptonshire006,248000,2460,830
E07000155,South Northamptonshire,E02005687,SouthNorthamptonshire007,250000,2500,970
E07000155,South Northamptonshire,E02005688,SouthNorthamptonshire008,225000,2000,900
E07000155,South Northamptonshire,E02005689,SouthNorthamptonshire009,240000,2300,980
E07000155,South Northamptonshire,E02005690,SouthNorthamptonshire010,175000,1000,760
E07000155,South Northamptonshire,E02005691,SouthNorthamptonshire011,215000,1800,860
