Local_authority_code,Local_authority_name,MSOA_code,MSOA_name,House_Price,Stamp_Duty,Income_Est
E07000138,Lincoln,E02005442,Lincoln001,103875,0,500
E07000138,Lincoln,E02005443,Lincoln002,119000,0,620
E07000138,Lincoln,E02005444,Lincoln003,125000,0,700
E07000138,Lincoln,E02005445,Lincoln004,95000,0,590
E07000138,Lincoln,E02005446,Lincoln005,119000,0,650
E07000138,Lincoln,E02005447,Lincoln006,82500,0,550
E07000138,Lincoln,E02005448,Lincoln007,115000,0,580
E07000138,Lincoln,E02005449,Lincoln008,109500,0,710
E07000138,Lincoln,E02005450,Lincoln009,121250,0,710
E07000138,Lincoln,E02005451,Lincoln010,91500,0,520
E07000138,Lincoln,E02005452,Lincoln011,128000,60,660
