Local_authority_code,Local_authority_name,MSOA_code,MSOA_name,House_Price,Stamp_Duty,Income_Est
E07000063,Lewes,E02004379,Lewes001,327500,6375,1020
E07000063,Lewes,E02004380,Lewes002,340000,7000,1070
E07000063,Lewes,E02004381,Lewes003,269750,3488,850
E07000063,Lewes,E02004382,Lewes004,241500,2330,820
E07000063,Lewes,E02004383,Lewes005,308000,5400,1010
E07000063,Lewes,E02004384,Lewes006,213750,1775,760
E07000063,Lewes,E02004385,Lewes007,221000,1920,690
E07000063,Lewes,E02004386,Lewes008,180000,1100,690
E07000063,Lewes,E02004387,Lewes009,188500,1270,700
E07000063,Lewes,E02004388,Lewes010,248000,2460,670
E07000063,Lewes,E02004389,Lewes011,257500,2875,760
E07000063,Lewes,E02004390,Lewes012,243500,2370,750
E07000063,Lewes,E02004391,Lewes013,154475,590,700
