Local_authority_code,Local_authority_name,MSOA_code,MSOA_name,House_Price,Stamp_Duty,Income_Est
E07000224,Arun,E02006542,Arun001,267500,3375,830
E07000224,Arun,E02006543,Arun002,239950,2299,800
E07000224,Arun,E02006544,Arun003,225000,2000,880
E07000224,Arun,E02006545,Arun004,200000,1500,690
E07000224,Arun,E02006546,Arun005,233000,2160,750
E07000224,Arun,E02006547,Arun006,223000,1960,750
E07000224,Arun,E02006548,Arun007,197000,1440,760
E07000224,Arun,E02006549,Arun008,325000,6250,760
E07000224,Arun,E02006550,Arun009,195000,1400,700
E07000224,Arun,E02006551,Arun010,199950,1499,670
E07000224,Arun,E02006552,Arun011,105000,0,630
E07000224,Arun,E02006553,Arun012,199950,1499,690
E07000224,Arun,E02006554,Arun013,190000,1300,700
E07000224,Arun,E02006555,Arun014,139950,299,650
E07000224,Arun,E02006556,Arun015,253498,2675,780
E07000224,Arun,E02006557,Arun016,143000,360,720
E07000224,Arun,E02006558,Arun017,99000,0,650
E07000224,Arun,E02006559,Arun018,250000,2500,760
E07000224,Arun,E02006560,Arun019,210000,1700,630
