Local_authority_code,Local_authority_name,MSOA_code,MSOA_name,House_Price,Stamp_Duty,Income_Est
E07000194,Lichfield,E02006146,Lichfield001,141500,330,690
E07000194,Lichfield,E02006147,Lichfield002,205000,1600,860
E07000194,Lichfield,E02006148,Lichfield003,199500,1490,860
E07000194,Lichfield,E02006149,Lichfield004,130000,100,650
E07000194,Lichfield,E02006150,Lichfield005,175000,1000,840
E07000194,Lichfield,E02006151,Lichfield006,131000,120,670
E07000194,Lichfield,E02006152,Lichfield007,175000,1000,860
E07000194,Lichfield,E02006153,Lichfield008,208000,1660,830
E07000194,Lichfield,E02006154,Lichfield009,150000,500,660
E07000194,Lichfield,E02006155,Lichfield010,110000,0,570
E07000194,Lichfield,E02006156,Lichfield011,246250,2425,830
E07000194,Lichfield,E02006157,Lichfield012,131000,120,680
