Local_authority_code,Local_authority_name,MSOA_code,MSOA_name,House_Price,Stamp_Duty,Income_Est
E09000002,Barking and Dagenham,E02000002,BarkingandDagenham001,205500,1610,660
E09000002,Barking and Dagenham,E02000003,BarkingandDagenham002,210000,1700,750
E09000002,Barking and Dagenham,E02000004,BarkingandDagenham003,268000,3400,780
E09000002,Barking and Dagenham,E02000005,BarkingandDagenham004,255000,2750,680
E09000002,Barking and Dagenham,E02000007,BarkingandDagenham006,235000,2200,620
E09000002,Barking and Dagenham,E02000008,BarkingandDagenham007,250000,2500,630
E09000002,Barking and Dagenham,E02000009,BarkingandDagenham008,241500,2330,690
E09000002,Barking and Dagenham,E02000010,BarkingandDagenham009,224000,1980,710
E09000002,Barking and Dagenham,E02000011,BarkingandDagenham010,225000,2000,720
E09000002,Barking and Dagenham,E02000012,BarkingandDagenham011,317000,5850,850
E09000002,Barking and Dagenham,E02000013,BarkingandDagenham012,235000,2200,710
E09000002,Barking and Dagenham,E02000014,BarkingandDagenham013,250000,2500,660
E09000002,Barking and Dagenham,E02000015,BarkingandDagenham014,160000,700,620
E09000002,Barking and Dagenham,E02000016,BarkingandDagenham015,175000,1000,650
E09000002,Barking and Dagenham,E02000017,BarkingandDagenham016,235000,2200,800
E09000002,Barking and Dagenham,E02000018,BarkingandDagenham017,220000,1900,640
E09000002,Barking and Dagenham,E02000019,BarkingandDagenham018,239000,2280,740
E09000002,Barking and Dagenham,E02000020,BarkingandDagenham019,192000,1340,650
E09000002,Barking and Dagenham,E02000021,BarkingandDagenham020,225000,2000,680
E09000002,Barking and Dagenham,E02000022,BarkingandDagenham021,190000,1300,570
E09000002,Barking and Dagenham,E02000023,BarkingandDagenham022,178000,1060,600
E09000002,Barking and Dagenham,E02006799,BarkingandDagenham023,210000,1700,680
