Local_authority_code,Local_authority_name,MSOA_code,MSOA_name,House_Price,Stamp_Duty,Income_Est
E07000040,East Devon,E02004129,EastDevon001,156250,625,710
E07000040,East Devon,E02004130,EastDevon002,155000,600,610
E07000040,East Devon,E02004131,EastDevon003,175000,1000,680
E07000040,East Devon,E02004132,EastDevon004,215000,1800,820
E07000040,East Devon,E02004133,EastDevon005,155000,600,610
E07000040,East Devon,E02004134,EastDevon006,198950,1479,780
E07000040,East Devon,E02004135,EastDevon007,223475,1970,690
E07000040,East Devon,E02004136,EastDevon008,210000,1700,750
E07000040,East Devon,E02004137,EastDevon009,227500,2050,740
E07000040,East Devon,E02004138,EastDevon010,165000,800,560
E07000040,East Devon,E02004139,EastDevon011,210000,1700,640
E07000040,East Devon,E02004140,EastDevon012,225000,2000,660
E07000040,East Devon,E02004141,EastDevon013,213000,1760,810
E07000040,East Devon,E02004142,EastDevon014,235000,2200,910
E07000040,East Devon,E02004143,EastDevon015,198000,1460,710
E07000040,East Devon,E02004144,EastDevon016,211250,1725,780
E07000040,East Devon,E02004145,EastDevon017,220000,1900,660
E07000040,East Devon,E02004146,EastDevon018,178500,1070,660
E07000040,East Devon,E02004147,EastDevon019,128000,60,670
E07000040,East Devon,E02004148,EastDevon020,166000,820,620
