Local_authority_code,Local_authority_name,MSOA_code,MSOA_name,House_Price,Stamp_Duty,Income_Est
E07000089,Hart,E02004751,Hart001,285000,4250,970
E07000089,Hart,E02004752,Hart002,297475,4874,1140
E07000089,Hart,E02004753,Hart003,267500,3375,1010
E07000089,Hart,E02004754,Hart004,393000,9650,1030
E07000089,Hart,E02004755,Hart005,248000,2460,1250
E07000089,Hart,E02004756,Hart006,281500,4075,1200
E07000089,Hart,E02004757,Hart007,325000,6250,1290
E07000089,Hart,E02004758,Hart008,300000,5000,1060
E07000089,Hart,E02004759,Hart009,320250,6013,1130
E07000089,Hart,E02004760,Hart010,340000,7000,1180
E07000089,Hart,E02004761,Hart011,305000,5250,1170
