Local_authority_code,Local_authority_name,MSOA_code,MSOA_name,House_Price,Stamp_Duty,Income_Est
E06000022,Bath and North East Somerset,E02002985,BathandNorthEastSomerset001,213500,1770,730
E06000022,Bath and North East Somerset,E02002986,BathandNorthEastSomerset002,178000,1060,600
E06000022,Bath and North East Somerset,E02002987,BathandNorthEastSomerset003,234000,2180,850
E06000022,Bath and North East Somerset,E02002988,BathandNorthEastSomerset004,264500,3225,860
E06000022,Bath and North East Somerset,E02002989,BathandNorthEastSomerset005,245000,2400,800
E06000022,Bath and North East Somerset,E02002990,BathandNorthEastSomerset006,210000,1700,900
E06000022,Bath and North East Somerset,E02002991,BathandNorthEastSomerset007,283750,4188,830
E06000022,Bath and North East Somerset,E02002992,BathandNorthEastSomerset008,264000,3200,870
E06000022,Bath and North East Somerset,E02002993,BathandNorthEastSomerset009,230000,2100,780
E06000022,Bath and North East Somerset,E02002994,BathandNorthEastSomerset010,287500,4375,890
E06000022,Bath and North East Somerset,E02002995,BathandNorthEastSomerset011,168725,875,560
E06000022,Bath and North East Somerset,E02002996,BathandNorthEastSomerset012,301000,5050,880
E06000022,Bath and North East Somerset,E02002997,BathandNorthEastSomerset013,233500,2170,730
E06000022,Bath and North East Somerset,E02002998,BathandNorthEastSomerset014,240000,2300,700
E06000022,Bath and North East Somerset,E02002999,BathandNorthEastSomerset015,225000,2000,670
E06000022,Bath and North East Somerset,E02003000,BathandNorthEastSomerset016,225000,2000,830
E06000022,Bath and North East Somerset,E02003001,BathandNorthEastSomerset017,314000,5700,1050
E06000022,Bath and North East Somerset,E02003002,BathandNorthEastSomerset018,276500,3825,750
E06000022,Bath and North East Somerset,E02003003,BathandNorthEastSomerset019,228000,2060,790
E06000022,Bath and North East Somerset,E02003004,BathandNorthEastSomerset020,233413,2168,830
E06000022,Bath and North East Somerset,E02003005,BathandNorthEastSomerset021,300000,5000,910
E06000022,Bath and North East Somerset,E02003006,BathandNorthEastSomerset022,185000,1200,760
E06000022,Bath and North East Somerset,E02003007,BathandNorthEastSomerset023,168500,870,740
E06000022,Bath and North East Somerset,E02003008,BathandNorthEastSomerset024,148623,472,690
E06000022,Bath and North East Somerset,E02003009,BathandNorthEastSomerset025,158450,669,760
E06000022,Bath and North East Somerset,E02003010,BathandNorthEastSomerset026,166200,824,690
E06000022,Bath and North East Somerset,E02003011,BathandNorthEastSomerset027,180000,1100,690
