Local_authority_code,Local_authority_name,MSOA_code,MSOA_name,House_Price,Stamp_Duty,Income_Est
W06000023,Powys,W02000097,Powys001,136000,220,670
W06000023,Powys,W02000098,Powys002,131000,120,710
W06000023,Powys,W02000099,Powys003,118000,0,550
W06000023,Powys,W02000100,Powys004,108000,0,640
W06000023,Powys,W02000101,Powys005,138000,260,700
W06000023,Powys,W02000102,Powys006,130000,100,660
W06000023,Powys,W02000103,Powys007,145000,400,700
W06000023,Powys,W02000104,Powys008,102500,0,650
W06000023,Powys,W02000105,Powys009,95000,0,520
W06000023,Powys,W02000106,Powys010,105000,0,670
W06000023,Powys,W02000107,Powys011,140000,300,590
W06000023,Powys,W02000108,Powys012,123500,0,580
W06000023,Powys,W02000109,Powys013,95250,0,530
W06000023,Powys,W02000110,Powys014,122500,0,640
W06000023,Powys,W02000111,Powys015,167500,850,660
W06000023,Powys,W02000113,Powys017,120000,0,620
W06000023,Powys,W02000114,Powys018,209500,1690,770
W06000023,Powys,W02000414,Powys020,184000,1180,740
W06000023,Powys,W02000416,Powys021,79000,0,580
