Local_authority_code,Local_authority_name,MSOA_code,MSOA_name,House_Price,Stamp_Duty,Income_Est
W06000014,Vale of Glamorgan,W02000237,ValeofGlamorgan001,240000,2300,910
W06000014,Vale of Glamorgan,W02000238,ValeofGlamorgan002,270000,3500,920
W06000014,Vale of Glamorgan,W02000239,ValeofGlamorgan003,264995,3250,920
W06000014,Vale of Glamorgan,W02000240,ValeofGlamorgan004,165000,800,740
W06000014,Vale of Glamorgan,W02000241,ValeofGlamorgan005,165000,800,860
W06000014,Vale of Glamorgan,W02000242,ValeofGlamorgan006,185000,1200,770
W06000014,Vale of Glamorgan,W02000243,ValeofGlamorgan007,109500,0,530
W06000014,Vale of Glamorgan,W02000244,ValeofGlamorgan008,198500,1470,780
W06000014,Vale of Glamorgan,W02000245,ValeofGlamorgan009,108000,0,620
W06000014,Vale of Glamorgan,W02000246,ValeofGlamorgan010,169950,899,760
W06000014,Vale of Glamorgan,W02000247,ValeofGlamorgan011,162950,759,770
W06000014,Vale of Glamorgan,W02000248,ValeofGlamorgan012,101000,0,610
W06000014,Vale of Glamorgan,W02000249,ValeofGlamorgan013,114000,0,560
W06000014,Vale of Glamorgan,W02000250,ValeofGlamorgan014,135000,200,710
W06000014,Vale of Glamorgan,W02000251,ValeofGlamorgan015,134000,180,640
