Local_authority_code,Local_authority_name,MSOA_code,MSOA_name,House_Price,Stamp_Duty,Income_Est
E07000226,Crawley,E02006575,Crawley001,240000,2300,750
E07000226,Crawley,E02006576,Crawley002,259950,2998,1020
E07000226,Crawley,E02006577,Crawley003,214975,1800,730
E07000226,Crawley,E02006578,Crawley004,181305,1126,800
E07000226,Crawley,E02006579,Crawley005,228500,2070,860
E07000226,Crawley,E02006580,Crawley006,212580,1752,830
E07000226,Crawley,E02006581,Crawley007,195000,1400,770
E07000226,Crawley,E02006582,Crawley008,280000,4000,1210
E07000226,Crawley,E02006583,Crawley009,245000,2400,830
E07000226,Crawley,E02006584,Crawley010,210000,1700,760
E07000226,Crawley,E02006585,Crawley011,242500,2350,800
E07000226,Crawley,E02006586,Crawley012,213000,1760,840
E07000226,Crawley,E02006587,Crawley013,194250,1385,700
