Local_authority_code,Local_authority_name,MSOA_code,MSOA_name,House_Price,Stamp_Duty,Income_Est
W06000010,Carmarthenshire,W02000142,Carmarthenshire001,105000,0,580
W06000010,Carmarthenshire,W02000143,Carmarthenshire002,115000,0,630
W06000010,Carmarthenshire,W02000144,Carmarthenshire003,120000,0,610
W06000010,Carmarthenshire,W02000145,Carmarthenshire004,125000,0,690
W06000010,Carmarthenshire,W02000146,Carmarthenshire005,135000,200,730
W06000010,Carmarthenshire,W02000147,Carmarthenshire006,126500,30,690
W06000010,Carmarthenshire,W02000148,Carmarthenshire007,95000,0,650
W06000010,Carmarthenshire,W02000149,Carmarthenshire008,113000,0,620
W06000010,Carmarthenshire,W02000151,Carmarthenshire010,73250,0,580
W06000010,Carmarthenshire,W02000152,Carmarthenshire011,114000,0,600
W06000010,Carmarthenshire,W02000153,Carmarthenshire012,115000,0,670
W06000010,Carmarthenshire,W02000154,Carmarthenshire013,90000,0,590
W06000010,Carmarthenshire,W02000156,Carmarthenshire015,80000,0,630
W06000010,Carmarthenshire,W02000157,Carmarthenshire016,98000,0,640
W06000010,Carmarthenshire,W02000158,Carmarthenshire017,90250,0,720
W06000010,Carmarthenshire,W02000159,Carmarthenshire018,74083,0,590
W06000010,Carmarthenshire,W02000160,Carmarthenshire019,105750,0,640
W06000010,Carmarthenshire,W02000161,Carmarthenshire020,75000,0,560
W06000010,Carmarthenshire,W02000162,Carmarthenshire021,83000,0,580
W06000010,Carmarthenshire,W02000163,Carmarthenshire022,77750,0,610
W06000010,Carmarthenshire,W02000164,Carmarthenshire023,96000,0,650
W06000010,Carmarthenshire,W02000165,Carmarthenshire024,72077,0,590
W06000010,Carmarthenshire,W02000166,Carmarthenshire025,78000,0,600
W06000010,Carmarthenshire,W02000167,Carmarthenshire026,71500,0,510
W06000010,Carmarthenshire,W02000418,Carmarthenshire027,120000,0,660
