Local_authority_code,Local_authority_name,MSOA_code,MSOA_name,House_Price,Stamp_Duty,Income_Est
E07000168,Scarborough,E02005795,Scarborough001,125000,0,590
E07000168,Scarborough,E02005796,Scarborough002,145000,400,710
E07000168,Scarborough,E02005797,Scarborough003,130000,100,650
E07000168,Scarborough,E02005798,Scarborough004,168000,860,670
E07000168,Scarborough,E02005799,Scarborough005,145000,400,640
E07000168,Scarborough,E02005800,Scarborough006,86500,0,520
E07000168,Scarborough,E02005801,Scarborough007,96250,0,610
E07000168,Scarborough,E02005802,Scarborough008,91500,0,610
E07000168,Scarborough,E02005803,Scarborough009,103000,0,590
E07000168,Scarborough,E02005804,Scarborough010,75000,0,540
E07000168,Scarborough,E02005805,Scarborough011,124995,0,600
E07000168,Scarborough,E02005806,Scarborough012,99000,0,630
E07000168,Scarborough,E02005807,Scarborough013,149000,480,710
E07000168,Scarborough,E02005808,Scarborough014,120000,0,520
