Local_authority_code,Local_authority_name,MSOA_code,MSOA_name,House_Price,Stamp_Duty,Income_Est
E06000039,Slough,E02003407,Slough001,270000,3500,710
E06000039,Slough,E02003408,Slough002,177000,1040,730
E06000039,Slough,E02003409,Slough003,217250,1845,810
E06000039,Slough,E02003410,Slough004,209999,1700,750
E06000039,Slough,E02003411,Slough005,239500,2290,720
E06000039,Slough,E02003412,Slough006,235750,2215,770
E06000039,Slough,E02003413,Slough007,187500,1250,780
E06000039,Slough,E02003414,Slough008,180000,1100,820
E06000039,Slough,E02003415,Slough009,202000,1540,700
E06000039,Slough,E02003416,Slough010,244000,2380,1020
E06000039,Slough,E02003417,Slough011,212500,1750,900
E06000039,Slough,E02003418,Slough012,317500,5875,820
E06000039,Slough,E02003419,Slough013,263000,3150,800
E06000039,Slough,E02003420,Slough014,199000,1480,870
