Local_authority_code,Local_authority_name,MSOA_code,MSOA_name,House_Price,Stamp_Duty,Income_Est
W06000008,Ceredigion,W02000116,Ceredigion001,135000,200,720
W06000008,Ceredigion,W02000117,Ceredigion002,115000,0,670
W06000008,Ceredigion,W02000118,Ceredigion003,133500,170,660
W06000008,Ceredigion,W02000120,Ceredigion005,136500,230,660
W06000008,Ceredigion,W02000122,Ceredigion007,155000,600,670
W06000008,Ceredigion,W02000123,Ceredigion008,120000,0,610
W06000008,Ceredigion,W02000124,Ceredigion009,131000,120,550
W06000008,Ceredigion,W02000125,Ceredigion010,123000,0,580
W06000008,Ceredigion,W02000421,Ceredigion011,130000,100,690
