Local_authority_code,Local_authority_name,MSOA_code,MSOA_name,House_Price,Stamp_Duty,Income_Est
E07000065,Wealden,E02004403,Wealden001,265000,3250,1080
E07000065,Wealden,E02004404,Wealden002,329000,6450,1120
E07000065,Wealden,E02004405,Wealden003,260000,3000,1000
E07000065,Wealden,E02004406,Wealden004,262500,3125,960
E07000065,Wealden,E02004407,Wealden005,282250,4113,990
E07000065,Wealden,E02004408,Wealden006,210000,1700,910
E07000065,Wealden,E02004409,Wealden007,392000,9600,1030
E07000065,Wealden,E02004410,Wealden008,320000,6000,1030
E07000065,Wealden,E02004411,Wealden009,228500,2070,860
E07000065,Wealden,E02004412,Wealden010,150000,500,880
E07000065,Wealden,E02004413,Wealden011,237250,2245,890
E07000065,Wealden,E02004414,Wealden012,247000,2440,1030
E07000065,Wealden,E02004415,Wealden013,292250,4613,1010
E07000065,Wealden,E02004416,Wealden014,232000,2140,860
E07000065,Wealden,E02004417,Wealden015,195000,1400,720
E07000065,Wealden,E02004418,Wealden016,197000,1440,720
E07000065,Wealden,E02004419,Wealden017,180000,1100,620
E07000065,Wealden,E02004420,Wealden018,197250,1445,800
E07000065,Wealden,E02004421,Wealden019,195000,1400,670
E07000065,Wealden,E02004422,Wealden020,200000,1500,740
E07000065,Wealden,E02004423,Wealden021,225000,2000,730
