Local_authority_code,Local_authority_name,MSOA_code,MSOA_name,House_Price,Stamp_Duty,Income_Est
E09000033,Westminster,E02000960,Westminster001,690000,24500,1100
E09000033,Westminster,E02000961,Westminster002,492000,14600,1070
E09000033,Westminster,E02000962,Westminster003,472000,13600,870
E09000033,Westminster,E02000963,Westminster004,490000,14500,760
E09000033,Westminster,E02000964,Westminster005,480000,14000,770
E09000033,Westminster,E02000965,Westminster006,596000,19800,1180
E09000033,Westminster,E02000966,Westminster007,630000,21500,1270
E09000033,Westminster,E02000967,Westminster008,770000,28500,1240
E09000033,Westminster,E02000968,Westminster009,407500,10375,670
E09000033,Westminster,E02000969,Westminster010,380000,9000,730
E09000033,Westminster,E02000970,Westminster011,1250000,68750,1290
E09000033,Westminster,E02000971,Westminster012,650000,22500,1120
E09000033,Westminster,E02000972,Westminster013,1030000,46750,1080
E09000033,Westminster,E02000973,Westminster014,590000,19500,1110
E09000033,Westminster,E02000974,Westminster015,582300,19115,980
E09000033,Westminster,E02000975,Westminster016,545000,17250,1240
E09000033,Westminster,E02000976,Westminster017,492500,14625,1070
E09000033,Westminster,E02000977,Westminster018,876000,33800,1080
E09000033,Westminster,E02000978,Westminster019,1793350,128952,1290
E09000033,Westminster,E02000979,Westminster020,860000,33000,1040
E09000033,Westminster,E02000980,Westminster021,650000,22500,890
E09000033,Westminster,E02000981,Westminster022,660000,23000,1210
E09000033,Westminster,E02000982,Westminster023,615000,20750,840
E09000033,Westminster,E02000983,Westminster024,532500,16625,900
