Local_authority_code,Local_authority_name,MSOA_code,MSOA_name,House_Price,Stamp_Duty,Income_Est
E07000136,Boston,E02005417,Boston001,126000,20,580
E07000136,Boston,E02005418,Boston002,102000,0,520
E07000136,Boston,E02005419,Boston003,92000,0,600
E07000136,Boston,E02005420,Boston004,112500,0,530
E07000136,Boston,E02005422,Boston006,132500,150,620
E07000136,Boston,E02005423,Boston007,122500,0,570
E07000136,Boston,E02006864,Boston008,120500,0,700
E07000136,Boston,E02006865,Boston009,137750,255,660
