Local_authority_code,Local_authority_name,MSOA_code,MSOA_name,House_Price,Stamp_Duty,Income_Est
E07000121,Lancaster,E02005221,Lancaster001,120000,0,630
E07000121,Lancaster,E02005222,Lancaster002,219250,1885,790
E07000121,Lancaster,E02005223,Lancaster003,162750,755,890
E07000121,Lancaster,E02005224,Lancaster004,126250,25,490
E07000121,Lancaster,E02005225,Lancaster005,162500,750,750
E07000121,Lancaster,E02005226,Lancaster006,64500,0,490
E07000121,Lancaster,E02005228,Lancaster008,92500,0,600
E07000121,Lancaster,E02005229,Lancaster009,70500,0,530
E07000121,Lancaster,E02005230,Lancaster010,100750,0,520
E07000121,Lancaster,E02005231,Lancaster011,87300,0,600
E07000121,Lancaster,E02005233,Lancaster013,133000,160,750
E07000121,Lancaster,E02005234,Lancaster014,109750,0,600
E07000121,Lancaster,E02005235,Lancaster015,106500,0,750
E07000121,Lancaster,E02005236,Lancaster016,115000,0,640
E07000121,Lancaster,E02005237,Lancaster017,117500,0,730
E07000121,Lancaster,E02005238,Lancaster018,138000,260,720
E07000121,Lancaster,E02005239,Lancaster019,137000,240,820
E07000121,Lancaster,E02006871,Lancaster020,120000,0,670
