Local_authority_code,Local_authority_name,MSOA_code,MSOA_name,House_Price,Stamp_Duty,Income_Est
E08000013,St. Helens,E02001406,St.Helens001,137000,240,740
E08000013,St. Helens,E02001407,St.Helens002,125000,0,710
E08000013,St. Helens,E02001408,St.Helens003,115000,0,720
E08000013,St. Helens,E02001409,St.Helens004,91500,0,610
E08000013,St. Helens,E02001410,St.Helens005,80000,0,620
E08000013,St. Helens,E02001411,St.Helens006,74950,0,640
E08000013,St. Helens,E02001412,St.Helens007,94625,0,750
E08000013,St. Helens,E02001413,St.Helens008,85000,0,670
E08000013,St. Helens,E02001414,St.Helens009,152000,540,910
E08000013,St. Helens,E02001415,St.Helens010,103000,0,610
E08000013,St. Helens,E02001416,St.Helens011,45000,0,520
E08000013,St. Helens,E02001417,St.Helens012,64000,0,470
E08000013,St. Helens,E02001418,St.Helens013,70000,0,550
E08000013,St. Helens,E02001419,St.Helens014,45000,0,450
E08000013,St. Helens,E02001420,St.Helens015,115000,0,710
E08000013,St. Helens,E02001421,St.Helens016,70000,0,670
E08000013,St. Helens,E02001422,St.Helens017,51500,0,540
E08000013,St. Helens,E02001423,St.Helens018,156500,630,870
E08000013,St. Helens,E02001424,St.Helens019,75000,0,660
E08000013,St. Helens,E02001425,St.Helens020,80000,0,580
E08000013,St. Helens,E02001426,St.Helens021,87000,0,680
E08000013,St. Helens,E02001427,St.Helens022,84500,0,620
E08000013,St. Helens,E02001428,St.Helens023,140000,300,790
