Local_authority_code,Local_authority_name,MSOA_code,MSOA_name,House_Price,Stamp_Duty,Income_Est
E07000028,Carlisle,E02003987,Carlisle001,97000,0,670
E07000028,Carlisle,E02003988,Carlisle002,107750,0,680
E07000028,Carlisle,E02003989,Carlisle003,117000,0,820
E07000028,Carlisle,E02003990,Carlisle004,127950,59,860
E07000028,Carlisle,E02003991,Carlisle005,126000,20,750
E07000028,Carlisle,E02003992,Carlisle006,75000,0,620
E07000028,Carlisle,E02003993,Carlisle007,163500,770,810
E07000028,Carlisle,E02003994,Carlisle008,75000,0,540
E07000028,Carlisle,E02003995,Carlisle009,85000,0,530
E07000028,Carlisle,E02003996,Carlisle010,71000,0,610
E07000028,Carlisle,E02003997,Carlisle011,79000,0,520
E07000028,Carlisle,E02003998,Carlisle012,75000,0,560
E07000028,Carlisle,E02003999,Carlisle013,140000,300,800
