Local_authority_code,Local_authority_name,MSOA_code,MSOA_name,House_Price,Stamp_Duty,Income_Est
E09000021,Kingston upon Thames,E02000598,KingstonuponThames001,570000,18500,1340
E09000021,Kingston upon Thames,E02000599,KingstonuponThames002,625500,21275,1260
E09000021,Kingston upon Thames,E02000600,KingstonuponThames003,325000,6250,1060
E09000021,Kingston upon Thames,E02000601,KingstonuponThames004,402000,10100,1230
E09000021,Kingston upon Thames,E02000602,KingstonuponThames005,317500,5875,920
E09000021,Kingston upon Thames,E02000603,KingstonuponThames006,305000,5250,930
E09000021,Kingston upon Thames,E02000604,KingstonuponThames007,373000,8650,1120
E09000021,Kingston upon Thames,E02000605,KingstonuponThames008,380000,9000,1090
E09000021,Kingston upon Thames,E02000606,KingstonuponThames009,370000,8500,1120
E09000021,Kingston upon Thames,E02000607,KingstonuponThames010,330000,6500,1210
E09000021,Kingston upon Thames,E02000608,KingstonuponThames011,342000,7100,1170
E09000021,Kingston upon Thames,E02000609,KingstonuponThames012,427000,11350,1040
E09000021,Kingston upon Thames,E02000610,KingstonuponThames013,344400,7220,970
E09000021,Kingston upon Thames,E02000611,KingstonuponThames014,490000,14500,1220
E09000021,Kingston upon Thames,E02000612,KingstonuponThames015,381000,9050,1140
E09000021,Kingston upon Thames,E02000613,KingstonuponThames016,360000,8000,1130
E09000021,Kingston upon Thames,E02000614,KingstonuponThames017,256000,2800,1000
E09000021,Kingston upon Thames,E02000615,KingstonuponThames018,299950,4998,980
E09000021,Kingston upon Thames,E02000616,KingstonuponThames019,320000,6000,1060
E09000021,Kingston upon Thames,E02000617,KingstonuponThames020,323000,6150,900
