Local_authority_code,Local_authority_name,MSOA_code,MSOA_name,House_Price,Stamp_Duty,Income_Est
E07000069,Castle Point,E02004473,CastlePoint001,239995,2300,770
E07000069,Castle Point,E02004474,CastlePoint002,250000,2500,780
E07000069,Castle Point,E02004475,CastlePoint003,254995,2750,790
E07000069,Castle Point,E02004476,CastlePoint004,263500,3175,890
E07000069,Castle Point,E02004477,CastlePoint005,275000,3750,840
E07000069,Castle Point,E02004478,CastlePoint006,180000,1100,730
E07000069,Castle Point,E02004479,CastlePoint007,239998,2300,860
E07000069,Castle Point,E02004480,CastlePoint008,190000,1300,770
E07000069,Castle Point,E02004481,CastlePoint009,178250,1065,520
E07000069,Castle Point,E02004482,CastlePoint010,182498,1150,640
E07000069,Castle Point,E02004483,CastlePoint011,200000,1500,670
E07000069,Castle Point,E02004484,CastlePoint012,175000,1000,610
