Local_authority_code,Local_authority_name,MSOA_code,MSOA_name,House_Price,Stamp_Duty,Income_Est
E09000025,Newham,E02000714,Newham001,300000,5000,810
E09000025,Newham,E02000715,Newham002,200000,1500,730
E09000025,Newham,E02000716,Newham003,250000,2500,760
E09000025,Newham,E02000717,Newham004,245000,2400,750
E09000025,Newham,E02000718,Newham005,195000,1400,680
E09000025,Newham,E02000719,Newham006,245000,2400,740
E09000025,Newham,E02000720,Newham007,360000,8000,890
E09000025,Newham,E02000721,Newham008,245000,2400,720
E09000025,Newham,E02000722,Newham009,275000,3750,830
E09000025,Newham,E02000723,Newham010,183750,1175,840
E09000025,Newham,E02000724,Newham011,270000,3500,780
E09000025,Newham,E02000725,Newham012,310000,5500,810
E09000025,Newham,E02000726,Newham013,297600,4880,850
E09000025,Newham,E02000727,Newham014,205000,1600,800
E09000025,Newham,E02000728,Newham015,243000,2360,810
E09000025,Newham,E02000729,Newham016,265000,3250,850
E09000025,Newham,E02000730,Newham017,280199,4010,760
E09000025,Newham,E02000731,Newham018,221000,1920,790
E09000025,Newham,E02000732,Newham019,209250,1685,700
E09000025,Newham,E02000733,Newham020,249995,2500,750
E09000025,Newham,E02000734,Newham021,280000,4000,710
E09000025,Newham,E02000735,Newham022,250000,2500,700
E09000025,Newham,E02000736,Newham023,230000,2100,720
E09000025,Newham,E02000737,Newham024,270000,3500,770
E09000025,Newham,E02000738,Newham025,295000,4750,850
E09000025,Newham,E02000739,Newham026,250000,2500,720
E09000025,Newham,E02000740,Newham027,265000,3250,700
E09000025,Newham,E02000741,Newham028,275000,3750,730
E09000025,Newham,E02000742,Newham029,215000,1800,750
E09000025,Newham,E02000743,Newham030,232000,2140,630
E09000025,Newham,E02000744,Newham031,230000,2100,680
E09000025,Newham,E02000745,Newham032,261000,3050,790
E09000025,Newham,E02000746,Newham033,219999,1900,720
E09000025,Newham,E02000747,Newham034,320000,6000,770
E09000025,Newham,E02000748,Newham035,230000,2100,760
E09000025,Newham,E02000749,Newham036,215000,1800,660
E09000025,Newham,E02000750,Newham037,318000,5900,820
