Local_authority_code,Local_authority_name,MSOA_code,MSOA_name,House_Price,Stamp_Duty,Income_Est
E06000034,Thurrock,E02003296,Thurrock001,241000,2320,880
E06000034,Thurrock,E02003297,Thurrock002,220000,1900,670
E06000034,Thurrock,E02003298,Thurrock003,228000,2060,700
E06000034,Thurrock,E02003299,Thurrock004,294000,4700,930
E06000034,Thurrock,E02003300,Thurrock005,200000,1500,820
E06000034,Thurrock,E02003301,Thurrock006,192000,1340,680
E06000034,Thurrock,E02003302,Thurrock007,165500,810,580
E06000034,Thurrock,E02003303,Thurrock008,225000,2000,690
E06000034,Thurrock,E02003304,Thurrock009,245000,2400,650
E06000034,Thurrock,E02003305,Thurrock010,268500,3425,740
E06000034,Thurrock,E02003307,Thurrock012,220000,1900,630
E06000034,Thurrock,E02003308,Thurrock013,206000,1620,810
E06000034,Thurrock,E02003309,Thurrock014,203000,1560,800
E06000034,Thurrock,E02003310,Thurrock015,163500,770,670
E06000034,Thurrock,E02003311,Thurrock016,178000,1060,710
E06000034,Thurrock,E02003312,Thurrock017,132500,150,690
E06000034,Thurrock,E02003313,Thurrock018,119995,0,590
E06000034,Thurrock,E02006859,Thurrock019,190000,1300,1450
E06000034,Thurrock,E02006926,Thurrock020,193000,1360,990
