Local_authority_code,Local_authority_name,MSOA_code,MSOA_name,House_Price,Stamp_Duty,Income_Est
E06000031,Peterborough,E02003237,Peterborough001,155500,610,850
E06000031,Peterborough,E02003238,Peterborough002,134000,180,820
E06000031,Peterborough,E02003239,Peterborough003,147000,440,830
E06000031,Peterborough,E02003240,Peterborough004,129998,100,1020
E06000031,Peterborough,E02003241,Peterborough005,143000,360,720
E06000031,Peterborough,E02003242,Peterborough006,138000,260,670
E06000031,Peterborough,E02003243,Peterborough007,115000,0,590
E06000031,Peterborough,E02003244,Peterborough008,128000,60,570
E06000031,Peterborough,E02003245,Peterborough009,105000,0,600
E06000031,Peterborough,E02003246,Peterborough010,108000,0,640
E06000031,Peterborough,E02003247,Peterborough011,110750,0,650
E06000031,Peterborough,E02003248,Peterborough012,132000,140,700
E06000031,Peterborough,E02003249,Peterborough013,118000,0,560
E06000031,Peterborough,E02003250,Peterborough014,100000,0,630
E06000031,Peterborough,E02003251,Peterborough015,170000,900,870
E06000031,Peterborough,E02003252,Peterborough016,120000,0,760
E06000031,Peterborough,E02003253,Peterborough017,111500,0,730
E06000031,Peterborough,E02003254,Peterborough018,163500,770,870
E06000031,Peterborough,E02003255,Peterborough019,145000,400,670
E06000031,Peterborough,E02003257,Peterborough021,79995,0,580
E06000031,Peterborough,E02006877,Peterborough022,156000,620,780
E06000031,Peterborough,E02006878,Peterborough023,150006,500,920
