Local_authority_code,Local_authority_name,MSOA_code,MSOA_name,House_Price,Stamp_Duty,Income_Est
E07000118,Chorley,E02005189,Chorley001,90000,0,550
E07000118,Chorley,E02005190,Chorley002,148000,460,820
E07000118,Chorley,E02005191,Chorley003,135000,200,740
E07000118,Chorley,E02005192,Chorley004,131000,120,990
E07000118,Chorley,E02005193,Chorley005,139000,280,800
E07000118,Chorley,E02005194,Chorley006,84000,0,700
E07000118,Chorley,E02005195,Chorley007,152000,540,730
E07000118,Chorley,E02005196,Chorley008,136000,220,710
E07000118,Chorley,E02005197,Chorley009,78000,0,570
E07000118,Chorley,E02005198,Chorley010,90000,0,630
E07000118,Chorley,E02005199,Chorley011,150500,510,680
E07000118,Chorley,E02005200,Chorley012,100000,0,740
E07000118,Chorley,E02005201,Chorley013,119500,0,690
E07000118,Chorley,E02005202,Chorley014,120000,0,700
