Local_authority_code,Local_authority_name,MSOA_code,MSOA_name,House_Price,Stamp_Duty,Income_Est
E08000016,Barnsley,E02001509,Barnsley001,99950,0,640
E08000016,Barnsley,E02001510,Barnsley002,72500,0,620
E08000016,Barnsley,E02001511,Barnsley003,84000,0,580
E08000016,Barnsley,E02001512,Barnsley004,95475,0,680
E08000016,Barnsley,E02001513,Barnsley005,95250,0,700
E08000016,Barnsley,E02001514,Barnsley006,77375,0,590
E08000016,Barnsley,E02001515,Barnsley007,75500,0,560
E08000016,Barnsley,E02001516,Barnsley008,74500,0,610
E08000016,Barnsley,E02001517,Barnsley009,107000,0,630
E08000016,Barnsley,E02001518,Barnsley010,86500,0,640
E08000016,Barnsley,E02001519,Barnsley011,93500,0,610
E08000016,Barnsley,E02001520,Barnsley012,114000,0,690
E08000016,Barnsley,E02001521,Barnsley013,61500,0,620
E08000016,Barnsley,E02001522,Barnsley014,57000,0,540
E08000016,Barnsley,E02001523,Barnsley015,67000,0,650
E08000016,Barnsley,E02001524,Barnsley016,145000,400,850
E08000016,Barnsley,E02001525,Barnsley017,53000,0,480
E08000016,Barnsley,E02001526,Barnsley018,70000,0,550
E08000016,Barnsley,E02001527,Barnsley019,98250,0,640
E08000016,Barnsley,E02001528,Barnsley020,68000,0,600
E08000016,Barnsley,E02001529,Barnsley021,77000,0,610
E08000016,Barnsley,E02001530,Barnsley022,45000,0,600
E08000016,Barnsley,E02001531,Barnsley023,64000,0,560
E08000016,Barnsley,E02001532,Barnsley024,130000,100,740
E08000016,Barnsley,E02001533,Barnsley025,65000,0,600
E08000016,Barnsley,E02001534,Barnsley026,94000,0,590
E08000016,Barnsley,E02001535,Barnsley027,155000,600,790
E08000016,Barnsley,E02001536,Barnsley028,76000,0,630
E08000016,Barnsley,E02001537,Barnsley029,80000,0,610
E08000016,Barnsley,E02001538,Barnsley030,85000,0,620
