Local_authority_code,Local_authority_name,MSOA_code,MSOA_name,House_Price,Stamp_Duty,Income_Est
E07000127,West Lancashire,E02005304,WestLancashire001,155500,610,860
E07000127,West Lancashire,E02005305,WestLancashire002,159000,680,670
E07000127,West Lancashire,E02005306,WestLancashire003,152100,542,730
E07000127,West Lancashire,E02005307,WestLancashire004,141995,340,750
E07000127,West Lancashire,E02005308,WestLancashire005,142000,340,880
E07000127,West Lancashire,E02005309,WestLancashire006,144500,390,810
E07000127,West Lancashire,E02005310,WestLancashire007,135000,200,630
E07000127,West Lancashire,E02005311,WestLancashire008,161000,720,810
E07000127,West Lancashire,E02005312,WestLancashire009,105000,0,720
E07000127,West Lancashire,E02005313,WestLancashire010,62000,0,590
E07000127,West Lancashire,E02005314,WestLancashire011,75000,0,600
E07000127,West Lancashire,E02005315,WestLancashire012,205000,1600,840
E07000127,West Lancashire,E02005316,WestLancashire013,62000,0,600
E07000127,West Lancashire,E02005317,WestLancashire014,52000,0,530
E07000127,West Lancashire,E02005318,WestLancashire015,140000,300,790
