Local_authority_code,Local_authority_name,MSOA_code,MSOA_name,House_Price,Stamp_Duty,Income_Est
W06000018,Caerphilly,W02000290,Caerphilly001,55000,0,500
W06000018,Caerphilly,W02000291,Caerphilly002,52500,0,460
W06000018,Caerphilly,W02000292,Caerphilly003,70000,0,460
W06000018,Caerphilly,W02000293,Caerphilly004,64750,0,520
W06000018,Caerphilly,W02000294,Caerphilly005,94000,0,610
W06000018,Caerphilly,W02000295,Caerphilly006,89000,0,620
W06000018,Caerphilly,W02000296,Caerphilly007,90000,0,530
W06000018,Caerphilly,W02000297,Caerphilly008,90000,0,630
W06000018,Caerphilly,W02000298,Caerphilly009,98000,0,680
W06000018,Caerphilly,W02000299,Caerphilly010,73000,0,570
W06000018,Caerphilly,W02000300,Caerphilly011,85000,0,590
W06000018,Caerphilly,W02000301,Caerphilly012,90500,0,610
W06000018,Caerphilly,W02000302,Caerphilly013,112000,0,660
W06000018,Caerphilly,W02000303,Caerphilly014,81000,0,660
W06000018,Caerphilly,W02000304,Caerphilly015,74500,0,570
W06000018,Caerphilly,W02000305,Caerphilly016,78000,0,650
W06000018,Caerphilly,W02000306,Caerphilly017,88648,0,590
W06000018,Caerphilly,W02000307,Caerphilly018,74000,0,530
W06000018,Caerphilly,W02000308,Caerphilly019,102000,0,610
W06000018,Caerphilly,W02000309,Caerphilly020,115000,0,590
W06000018,Caerphilly,W02000310,Caerphilly021,129000,80,690
W06000018,Caerphilly,W02000311,Caerphilly022,120000,0,540
W06000018,Caerphilly,W02000312,Caerphilly023,127250,45,600
W06000018,Caerphilly,W02000313,Caerphilly024,136750,235,810
