Local_authority_code,Local_authority_name,MSOA_code,MSOA_name,House_Price,Stamp_Duty,Income_Est
E07000031,South Lakeland,E02004015,SouthLakeland001,238500,2270,680
E07000031,South Lakeland,E02004016,SouthLakeland002,183000,1160,660
E07000031,South Lakeland,E02004017,SouthLakeland003,140000,300,740
E07000031,South Lakeland,E02004018,SouthLakeland004,115000,0,650
E07000031,South Lakeland,E02004019,SouthLakeland005,170000,900,770
E07000031,South Lakeland,E02004020,SouthLakeland006,159500,690,780
E07000031,South Lakeland,E02004021,SouthLakeland007,220000,1900,740
E07000031,South Lakeland,E02004022,SouthLakeland008,166500,830,780
E07000031,South Lakeland,E02004023,SouthLakeland009,183500,1170,660
E07000031,South Lakeland,E02004024,SouthLakeland010,190500,1310,860
E07000031,South Lakeland,E02004025,SouthLakeland011,155000,600,690
E07000031,South Lakeland,E02004026,SouthLakeland012,125000,0,650
E07000031,South Lakeland,E02004027,SouthLakeland013,155000,600,620
E07000031,South Lakeland,E02004028,SouthLakeland014,145000,400,770
