Local_authority_code,Local_authority_name,MSOA_code,MSOA_name,House_Price,Stamp_Duty,Income_Est
E07000068,Brentwood,E02004464,Brentwood001,355000,7750,900
E07000068,Brentwood,E02004465,Brentwood002,352500,7625,930
E07000068,Brentwood,E02004466,Brentwood003,281250,4063,810
E07000068,Brentwood,E02004467,Brentwood004,275000,3750,830
E07000068,Brentwood,E02004468,Brentwood005,365000,8250,1190
E07000068,Brentwood,E02004469,Brentwood006,320000,6000,990
E07000068,Brentwood,E02004470,Brentwood007,222500,1950,920
E07000068,Brentwood,E02004471,Brentwood008,260000,3000,810
E07000068,Brentwood,E02004472,Brentwood009,282498,4125,1060
