Local_authority_code,Local_authority_name,MSOA_code,MSOA_name,House_Price,Stamp_Duty,Income_Est
E06000041,Wokingham,E02003439,Wokingham001,395000,9750,1060
E06000041,Wokingham,E02003440,Wokingham002,348000,7400,1180
E06000041,Wokingham,E02003441,Wokingham003,347500,7375,1140
E06000041,Wokingham,E02003442,Wokingham004,272500,3625,1290
E06000041,Wokingham,E02003443,Wokingham005,306500,5325,770
E06000041,Wokingham,E02003444,Wokingham006,340000,7000,1070
E06000041,Wokingham,E02003445,Wokingham007,306500,5325,1050
E06000041,Wokingham,E02003446,Wokingham008,363750,8188,1280
E06000041,Wokingham,E02003447,Wokingham009,300000,5000,1180
E06000041,Wokingham,E02003448,Wokingham010,355000,7750,1280
E06000041,Wokingham,E02003449,Wokingham011,221000,1920,1280
E06000041,Wokingham,E02003450,Wokingham012,277500,3875,1100
E06000041,Wokingham,E02003451,Wokingham013,240000,2300,860
E06000041,Wokingham,E02003452,Wokingham014,330000,6500,1370
E06000041,Wokingham,E02003453,Wokingham015,395000,9750,1530
E06000041,Wokingham,E02003454,Wokingham016,280000,4000,1150
E06000041,Wokingham,E02003455,Wokingham017,309125,5456,1100
E06000041,Wokingham,E02003456,Wokingham018,280000,4000,1080
E06000041,Wokingham,E02003457,Wokingham019,406500,10325,1300
E06000041,Wokingham,E02003458,Wokingham020,399950,9998,1240
