name,imin,imax
Northern Ireland ,16.5,-3.4
Wales  ,17.5,6.3
Scotland ,18.4,6.6
North West ,19.7,7.5
North East ,18.9,9.6
Yorkshire and The Humber ,17.6,9.7
England,17.3,10.0
East ,17.7,11.4
South West ,21.3,11.4
West Midlands ,19.7,12.1
South East ,20.1,12.3
East Midlands ,20.7,13.6
London ,15.1,14.6
