Liability,Asset,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014
RoW,CG,24.91,30.42,41.14,36.82,53.97,59.68,62.94,56.1,62.73
RoW,HH&NPISH,137.35,153.03,165.98,144.46,146.03,155.12,158.12,165.26,163.97
RoW,ICPF,689.89,757,734.36,822.56,908.58,907.63,1028.76,1060.57,1067.51
RoW,LG,2.82,3.11,3.62,3.39,3.63,4.08,5.47,5.91,6.89
RoW,MFI,2817.99,3879.38,6859.52,4643.2,4813.44,5494.93,4937.2,3835.06,4157.94
RoW,OFI,1587.95,1709.3,1604.87,1633.9,2803.18,3120.39,3095.25,3482.04,3672.07
RoW,PC,1.2,1.01,0.91,1.4,1.84,1.84,2.44,2.55,2.64
RoW,PNFC,1148.95,1176.4,1463.11,1307.44,1378.15,1408.75,1489.28,1334.56,1283.36
Unknown,CG,0.7,0.8,0.5,0.5,0.5,0.5,1.66,1.33,1.33
Unknown,HH&NPISH,309.28,317,120.63,238.33,285.26,228.11,220.31,258.26,280.75
Unknown,ICPF,674.02,643.68,445.53,456.73,400.78,362.28,383.19,366.01,370.74
Unknown,LG,1.22,1.12,0.52,0.72,1.02,1.42,1.52,2.82,3.72
Unknown,MFI,362.74,357.37,361.41,451.71,480.2,466.76,470.24,494.52,414.17
Unknown,OFI,463.02,491.68,441.67,625.22,763.58,776.01,822.56,857.46,858.25
Unknown,PC,1.56,1.7,0.96,0.33,0.33,0.33,0.33,0.33,0.33
Unknown,PNFC,37.76,43.79,62.89,69.43,57.06,56.56,58.75,62.85,78.14
Unknown,RoW,1362.81,1578.26,1489.64,1789.27,1844.26,1795.55,1785.34,1781.1,1865.4
