date,Inflation,Total pay growth
2006 JAN,2.2,4.3
2006 FEB,2.2,4.8
2006 MAR,2,5.3
2006 APR,2.2,5.4
2006 MAY,2.4,4.9
2006 JUN,2.6,4.8
2006 JUL,2.5,4.9
2006 AUG,2.6,4.6
2006 SEP,2.5,3.9
2006 OCT,2.5,3.8
2006 NOV,2.8,3.9
2006 DEC,2.9,4.6
2007 JAN,2.7,5.5
2007 FEB,2.7,6.6
2007 MAR,2.9,6.3
2007 APR,2.7,5.4
2007 MAY,2.5,4.5
2007 JUN,2.5,4.3
2007 JUL,2,4.5
2007 AUG,2,4.7
2007 SEP,2,5.1
2007 OCT,2.3,4.9
2007 NOV,2.2,4.7
2007 DEC,2.3,3.9
2008 JAN,2.4,4
2008 FEB,2.6,3.9
2008 MAR,2.6,4.5
2008 APR,3,4.7
2008 MAY,3.3,4.6
2008 JUN,3.7,4
2008 JUL,4.2,3.5
2008 AUG,4.4,3.2
2008 SEP,4.8,2.9
2008 OCT,4.2,3
2008 NOV,3.8,2.7
2008 DEC,3,2.7
2009 JAN,2.9,1.2
2009 FEB,3.1,-1.5
2009 MAR,2.8,-2.6
2009 APR,2.3,-1.8
2009 MAY,2.1,0.4
2009 JUN,1.7,1
2009 JUL,1.6,0.6
2009 AUG,1.4,0.6
2009 SEP,1,0.6
2009 OCT,1.2,0.6
2009 NOV,1.5,0.7
2009 DEC,2.1,0.7
2010 JAN,2.6,1.1
2010 FEB,2.1,2.6
2010 MAR,2.4,2.9
2010 APR,2.7,2.8
2010 MAY,2.5,1.6
2010 JUN,2.4,1.6
2010 JUL,2.3,1.7
2010 AUG,2.4,1.8
2010 SEP,2.4,1.9
2010 OCT,2.5,2.1
2010 NOV,2.6,2.2
2010 DEC,3.1,2.2
2011 JAN,3.4,2.5
2011 FEB,3.7,2.6
2011 MAR,3.5,2.8
2011 APR,3.8,2.5
2011 MAY,3.8,2.3
2011 JUN,3.6,2.4
2011 JUL,3.8,2.6
2011 AUG,3.9,2.6
2011 SEP,4.5,2.2
2011 OCT,4.3,1.9
2011 NOV,4.1,1.9
2011 DEC,3.7,1.9
2012 JAN,3.2,1.4
2012 FEB,3.1,1
2012 MAR,3.1,0.7
2012 APR,2.8,1.2
2012 MAY,2.5,1.4
2012 JUN,2.3,1.5
2012 JUL,2.4,1.4
2012 AUG,2.3,1.6
2012 SEP,2.1,1.8
2012 OCT,2.4,1.7
2012 NOV,2.4,1.5
2012 DEC,2.4,1.2
2013 JAN,2.4,1.3
2013 FEB,2.5,1.2
2013 MAR,2.5,0.6
2013 APR,2.2,1.4
2013 MAY,2.4,1.6
2013 JUN,2.6,2.1
2013 JUL,2.5,1.1
2013 AUG,2.4,0.7
2013 SEP,2.4,0.7
2013 OCT,2,0.8
2013 NOV,1.9,0.8
2013 DEC,1.9,1
2014 JAN,1.8,1.3
2014 FEB,1.6,1.7
2014 MAR,1.5,1.8
2014 APR,1.7,0.6
2014 MAY,1.5,0
2014 JUN,1.8,-0.3
2014 JUL,1.6,0.5
2014 AUG,1.5,0.6
2014 SEP,1.3,0.9
2014 OCT,1.3,1.4
2014 NOV,1.1,1.8
2014 DEC,0.7,2.1
2015 JAN,0.5,2
2015 FEB,0.4,1.9
2015 MAR,0.3,2.4
2015 APR,0.3,2.8
2015 MAY,0.4,3.2
2015 JUN,0.3,2.7
2015 JUL,0.5,3
2015 AUG,0.4,3.1
2015 SEP,0.2,3.1
2015 OCT,0.2,2.5
2015 NOV,0.4,2.1
2015 DEC,0.5,2
2016 JAN,0.6,2.3
2016 FEB,0.6,2.1
2016 MAR,0.8,2.2
2016 APR,0.7,2.2
2016 MAY,0.7,2.4
2016 JUN,0.8,2.6
2016 JUL,0.9,2.5
2016 AUG,1,2.4
2016 SEP,1.3,2.4
2016 OCT,1.3,2.5
2016 NOV,1.5,2.8
2016 DEC,1.8,2.6
2017 JAN,1.9,2.2
2017 FEB,2.3,2.2
2017 MAR,2.3,2.3
2017 APR,2.6,2.1
2017 MAY,2.7,null
